CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Homeless_Unaccompanied_Youth_Under_25,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_25,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_25,Unsheltered_Homeless_Unaccompanied_Youth_Under_25,Homeless_Unaccompanied_Youth_Under_18,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_18,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_18,Unsheltered_Homeless_Unaccompanied_Youth_Under_18,Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_ES_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_TH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_SH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_Total_Homeless_Unaccompanied_Youth_Age_18_24,Unsheltered_Homeless_Unaccompanied_Youth_Age_18_24,Homeless_Parenting_Youth_Under_25,Sheltered_ES_Homeless_Parenting_Youth_Under_25,Sheltered_TH_Homeless_Parenting_Youth_Under_25,Sheltered_Total_Homeless_Parenting_Youth_Under_25,Unsheltered_Homeless_Parenting_Youth_Under_25,Homeless_Parenting_Youth_Under_18,Sheltered_ES_Homeless_Parenting_Youth_Under_18,Sheltered_TH_Homeless_Parenting_Youth_Under_18,Sheltered_Total_Homeless_Parenting_Youth_Under_18,Unsheltered_Homeless_Parenting_Youth_Under_18,Homeless_Parenting_Youth_Age_18_24,Sheltered_ES_Homeless_Parenting_Youth_Age_18_24,Sheltered_TH_Homeless_Parenting_Youth_Age_18_24,Sheltered_Total_Homeless_Parenting_Youth_Age_18_24,Unsheltered_Homeless_Parenting_Youth_Age_18_24,Homeless_Children_of_Parenting_Youth,Sheltered_ES_Homeless_Children_of_Parenting_Youth,Sheltered_TH_Homeless_Children_of_Parenting_Youth,Sheltered_Total_Homeless_Children_of_Parenting_Youth,Unsheltered_Homeless_Children_of_Parenting_Youth,Count_Year
AK-500,Anchorage CoC,Other Urban CoCs,1094,751,249,0,1000,94,814,618,102,0,720,94,280,133,147,280,0,87,39,48,87,0,177,150,0,150,27,163,136,0,136,27,14,14,14,0,62,50,8,0,58,4,97,55,39,0,94,3,5,5,0,0,5,0,92,50,39,0,89,3,15,6,9,15,0,1,0,1,1,0,14,6,8,14,0,14,5,9,14,0,2018
AK-500,Anchorage CoC,,1128,654,319,0,973,155,848,548,145,0,693,155,280,106,174,280,0,87,34,53,87,0,116,72,0,72,44,114,70,0,70,44,2,2,2,0,69,48,9,0,57,12,115,72,29,0,101,14,8,8,0,0,8,0,107,64,29,0,93,14,12,3,9,12,0,0,0,0,0,0,12,3,9,12,0,21,6,15,21,0,2017
AK-501,Alaska Balance of State CoC,Rural CoCs,922,497,210,0,707,215,620,335,118,0,453,167,302,162,92,254,48,106,61,27,88,18,180,125,0,125,55,160,107,0,107,53,20,18,18,2,70,37,15,0,52,18,66,31,25,0,56,10,3,3,0,0,3,0,63,28,25,0,53,10,11,8,1,9,2,0,0,0,0,0,11,8,1,9,2,12,9,1,10,2,2018
AK-501,Alaska Balance of State CoC,,717,363,215,0,578,139,506,244,123,0,367,139,211,119,92,211,0,78,46,32,78,0,141,86,0,86,55,102,47,0,47,55,39,39,39,0,55,22,16,0,38,17,47,24,17,0,41,6,7,5,2,0,7,0,40,19,15,0,34,6,10,7,3,10,0,0,0,0,0,0,10,7,3,10,0,18,14,4,18,0,2017
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Suburban CoCs,901,431,219,32,682,219,720,322,147,32,501,219,181,109,72,181,0,54,28,26,54,0,119,82,13,95,24,114,77,13,90,24,5,5,5,0,133,86,30,0,116,17,26,14,7,0,21,5,4,4,0,0,4,0,22,10,7,0,17,5,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,7,1,6,7,0,2018
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",,1092,540,304,31,875,217,932,435,249,31,715,217,160,105,55,160,0,60,38,22,60,0,92,27,4,31,61,89,24,4,28,61,3,3,3,0,40,24,4,1,29,11,125,58,20,2,80,45,2,2,0,0,2,0,123,56,20,2,78,45,8,2,6,8,0,6,0,6,6,0,2,2,0,2,0,10,4,6,10,0,2017
AL-501,Mobile City & County/Baldwin County CoC,Other Urban CoCs,551,225,93,0,318,233,399,143,40,0,183,216,152,82,53,135,17,48,26,16,42,6,59,11,0,11,48,59,11,0,11,48,0,0,0,0,52,8,34,0,42,10,16,8,0,0,8,8,0,0,0,0,0,0,16,8,0,0,8,8,9,4,1,5,4,0,0,0,0,0,9,4,1,5,4,12,8,1,9,3,2018
AL-501,Mobile City & County/Baldwin County CoC,,606,196,145,0,341,265,426,121,58,0,179,247,180,75,87,162,18,57,24,28,52,5,65,9,0,9,56,65,9,0,9,56,0,0,0,0,76,17,33,0,50,26,18,3,6,0,9,9,0,0,0,0,0,0,18,3,6,0,9,9,12,3,9,12,0,0,0,0,0,0,12,3,9,12,0,18,6,12,18,0,2017
AL-502,Florence/Northwest Alabama CoC,Rural CoCs,256,128,106,0,234,22,166,63,81,0,144,22,90,65,25,90,0,41,29,12,41,0,136,122,0,122,14,77,63,0,63,14,59,59,59,0,8,0,0,0,0,8,17,0,16,0,16,1,16,0,16,0,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
AL-502,Florence/Northwest Alabama CoC,,155,27,106,0,133,22,155,27,106,0,133,22,0,0,0,0,0,0,0,0,0,0,24,10,0,10,14,24,10,0,10,14,0,0,0,0,11,3,0,0,3,8,8,3,4,0,7,1,0,0,0,0,0,0,8,3,4,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
